experiment,stream,run_dir,requests,frame_exact_match,total_latency_p95_ms,weak_field_coverage,weak_field_accuracy,wrong_accepted_field_rate,l4_conflict_rate,full_l4_calls_per_100,residual_l4_calls_per_100,full_l4_tokens_per_100,residual_l4_tokens_per_100,serving_cost_per_100,audit_cost_per_100,correct_weak_fields_avoiding_full_l4_per_100,residual_l4_verified_fields_per_100,comparison_score,comparison_rank,l0_share,l1_share,l2_share,l3_share,l4_share,promoted_generations,promotion_attempts,promoted_with_layer_regression,bottleneck_codes,bottleneck_count,l1_benchmark_native_p95_us,l1_benchmark_throughput_qps
main-evolution,zipf-heavy,runs/post-refactor-fixed-20260615-0954/live-residual-500/main-evolution,500,0.714,4434.079581,0.0,1.0,0.0,0.0,100.0,0.0,72100.0,0.0,0.038814,0.0,0.0,0.0,21.055323,1,0.0,0.0,0.0,0.0,1.0,0,1,0,"weak_l1_rule_coverage,teacher_inconsistency,overly_strict_promotion_gate",3,0.0,671.9492234652183
no-l2,zipf-heavy,runs/post-refactor-fixed-20260615-0954/live-residual-500/no-l2,500,0.72,4562.356533,0.0,1.0,0.0,0.0,100.0,0.0,72024.2,0.0,0.038693,0.0,0.0,0.0,20.372565,2,0.0,0.0,0.0,0.0,1.0,0,1,0,"weak_l1_rule_coverage,teacher_inconsistency,overly_strict_promotion_gate",3,0.0,717.0746144545955
l2-expert-bank,zipf-heavy,runs/post-refactor-fixed-20260615-0954/live-residual-500/l2-expert-bank,500,0.696,5523.433604,0.0,1.0,0.0,0.0,100.0,0.0,72182.4,0.0,0.038946,0.0,0.0,0.0,8.361769,3,0.0,0.0,0.0,0.0,1.0,0,1,0,"weak_l1_rule_coverage,teacher_inconsistency,overly_strict_promotion_gate",3,0.0,429.8272697926936
l2-global-student,zipf-heavy,runs/post-refactor-fixed-20260615-0954/live-residual-500/l2-global-student,500,0.704,8277.281641,0.0,1.0,0.0,0.0,100.0,0.0,72105.6,0.0,0.038823,0.0,0.0,0.0,-18.376699,4,0.0,0.0,0.0,0.0,1.0,0,1,0,"weak_l1_rule_coverage,teacher_inconsistency,overly_strict_promotion_gate",3,0.0,649.5265243479172
