scope,generation,layer,metric,value
layer_delta,1,L3,p95_latency_ms_delta,0.0
layer_delta,1,L3,wrong_accept_delta,0.0
layer_delta,1,L4,accepted_accuracy_delta,0.0
layer_delta,1,L4,cost_delta,-0.5945945945945927
layer_delta,1,L4,coverage_delta,-0.5945945945945945
layer_delta,1,L4,layer_share_delta,-0.5945945945945945
layer_delta,1,L4,p95_latency_ms_delta,0.0
layer_delta,1,L4,wrong_accept_delta,0.0
promotion,2,,promoted,True
promotion,2,,promoted_with_layer_regression,False
current_objective,2,,artifact_complexity,17.362291495737217
current_objective,2,,correct_weak_fields_avoiding_full_l4_per_100,0.0
current_objective,2,,cost_usd_per_100_requests,0.6779661016949157
current_objective,2,,frame_exact_match,1.0
current_objective,2,,full_l4_calls_per_100_requests,67.79661016949152
current_objective,2,,l4_conflict_rate,0.0
current_objective,2,,p95_latency_ms,900.0
current_objective,2,,residual_l4_calls_per_100_requests,0.0
current_objective,2,,residual_l4_verified_fields_per_100,0.0
current_objective,2,,wrong_accept_rate,0.0
current_objective,2,,wrong_accepted_field_rate,0.0
candidate_objective,2,,artifact_complexity,23.213203435596427
candidate_objective,2,,correct_weak_fields_avoiding_full_l4_per_100,0.0
candidate_objective,2,,cost_usd_per_100_requests,0.3051186440677968
candidate_objective,2,,frame_exact_match,1.0
candidate_objective,2,,full_l4_calls_per_100_requests,30.508474576271187
candidate_objective,2,,l4_conflict_rate,0.0
candidate_objective,2,,p95_latency_ms,900.0
candidate_objective,2,,residual_l4_calls_per_100_requests,0.0
candidate_objective,2,,residual_l4_verified_fields_per_100,0.0
candidate_objective,2,,wrong_accept_rate,0.0
candidate_objective,2,,wrong_accepted_field_rate,0.0
layer_delta,2,L0,accepted_accuracy_delta,0.0
layer_delta,2,L0,cost_delta,0.0
layer_delta,2,L0,coverage_delta,0.3661016949152543
layer_delta,2,L0,layer_share_delta,0.3661016949152543
layer_delta,2,L0,p95_latency_ms_delta,0.0
layer_delta,2,L0,wrong_accept_delta,0.0
layer_delta,2,L1,accepted_accuracy_delta,0.0
layer_delta,2,L1,cost_delta,0.0
layer_delta,2,L1,coverage_delta,0.0
layer_delta,2,L1,layer_share_delta,0.0
layer_delta,2,L1,p95_latency_ms_delta,0.0
layer_delta,2,L1,wrong_accept_delta,0.0
layer_delta,2,L2,accepted_accuracy_delta,0.0
layer_delta,2,L2,cost_delta,3.389830508474577e-05
layer_delta,2,L2,coverage_delta,0.006779661016949152
layer_delta,2,L2,layer_share_delta,0.006779661016949152
layer_delta,2,L2,p95_latency_ms_delta,5.0
layer_delta,2,L2,wrong_accept_delta,0.0
layer_delta,2,L3,accepted_accuracy_delta,0.0
layer_delta,2,L3,cost_delta,0.0
layer_delta,2,L3,coverage_delta,0.0
layer_delta,2,L3,layer_share_delta,0.0
layer_delta,2,L3,p95_latency_ms_delta,0.0
layer_delta,2,L3,wrong_accept_delta,0.0
layer_delta,2,L4,accepted_accuracy_delta,0.0
layer_delta,2,L4,cost_delta,-0.3728813559322036
layer_delta,2,L4,coverage_delta,-0.37288135593220334
layer_delta,2,L4,layer_share_delta,-0.37288135593220334
layer_delta,2,L4,p95_latency_ms_delta,0.0
layer_delta,2,L4,wrong_accept_delta,0.0
promotion,3,,promoted,True
promotion,3,,promoted_with_layer_regression,False
current_objective,3,,artifact_complexity,23.213203435596427
current_objective,3,,correct_weak_fields_avoiding_full_l4_per_100,0.0
current_objective,3,,cost_usd_per_100_requests,0.5403859649122811
current_objective,3,,frame_exact_match,0.9964912280701754
current_objective,3,,full_l4_calls_per_100_requests,54.03508771929825
current_objective,3,,l4_conflict_rate,0.0
current_objective,3,,p95_latency_ms,900.0
current_objective,3,,residual_l4_calls_per_100_requests,0.0
current_objective,3,,residual_l4_verified_fields_per_100,0.0
current_objective,3,,wrong_accept_rate,0.0035087719298245615
current_objective,3,,wrong_accepted_field_rate,0.0016207455429497568
candidate_objective,3,,artifact_complexity,27.11971337416094
candidate_objective,3,,correct_weak_fields_avoiding_full_l4_per_100,0.0
candidate_objective,3,,cost_usd_per_100_requests,0.30877192982456164
candidate_objective,3,,frame_exact_match,1.0
candidate_objective,3,,full_l4_calls_per_100_requests,30.87719298245614
candidate_objective,3,,l4_conflict_rate,0.0
candidate_objective,3,,p95_latency_ms,900.0
candidate_objective,3,,residual_l4_calls_per_100_requests,0.0
candidate_objective,3,,residual_l4_verified_fields_per_100,0.0
candidate_objective,3,,wrong_accept_rate,0.0
candidate_objective,3,,wrong_accepted_field_rate,0.0
layer_delta,3,L0,accepted_accuracy_delta,0.0
layer_delta,3,L0,cost_delta,0.0
layer_delta,3,L0,coverage_delta,0.2385964912280702
layer_delta,3,L0,layer_share_delta,0.2385964912280702
layer_delta,3,L0,p95_latency_ms_delta,0.0
layer_delta,3,L0,wrong_accept_delta,0.0
layer_delta,3,L1,accepted_accuracy_delta,0.0
layer_delta,3,L1,cost_delta,0.0
layer_delta,3,L1,coverage_delta,0.0
layer_delta,3,L1,layer_share_delta,0.0
layer_delta,3,L1,p95_latency_ms_delta,0.0
layer_delta,3,L1,wrong_accept_delta,0.0
layer_delta,3,L2,accepted_accuracy_delta,0.5
layer_delta,3,L2,cost_delta,-3.508771929824562e-05
layer_delta,3,L2,coverage_delta,-0.007017543859649123
layer_delta,3,L2,layer_share_delta,-0.007017543859649123
layer_delta,3,L2,p95_latency_ms_delta,-5.0
layer_delta,3,L2,wrong_accept_delta,-0.0035087719298245615
layer_delta,3,L3,accepted_accuracy_delta,0.0
layer_delta,3,L3,cost_delta,0.0
layer_delta,3,L3,coverage_delta,0.0
layer_delta,3,L3,layer_share_delta,0.0
layer_delta,3,L3,p95_latency_ms_delta,0.0
layer_delta,3,L3,wrong_accept_delta,0.0
layer_delta,3,L4,accepted_accuracy_delta,0.0
layer_delta,3,L4,cost_delta,-0.23157894736842127
layer_delta,3,L4,coverage_delta,-0.23157894736842105
layer_delta,3,L4,layer_share_delta,-0.23157894736842105
layer_delta,3,L4,p95_latency_ms_delta,0.0
layer_delta,3,L4,wrong_accept_delta,0.0
promotion,4,,promoted,True
promotion,4,,promoted_with_layer_regression,False
current_objective,4,,artifact_complexity,27.11971337416094
current_objective,4,,correct_weak_fields_avoiding_full_l4_per_100,0.0
current_objective,4,,cost_usd_per_100_requests,0.48177740863787405
current_objective,4,,frame_exact_match,0.9933554817275747
current_objective,4,,full_l4_calls_per_100_requests,48.17275747508305
current_objective,4,,l4_conflict_rate,0.0
current_objective,4,,p95_latency_ms,900.0
current_objective,4,,residual_l4_calls_per_100_requests,0.0
current_objective,4,,residual_l4_verified_fields_per_100,0.0
current_objective,4,,wrong_accept_rate,0.006644518272425249
current_objective,4,,wrong_accepted_field_rate,0.003067484662576687
candidate_objective,4,,artifact_complexity,30.39013913315678
candidate_objective,4,,correct_weak_fields_avoiding_full_l4_per_100,0.0
candidate_objective,4,,cost_usd_per_100_requests,0.2425415282392028
candidate_objective,4,,frame_exact_match,0.9966777408637874
candidate_objective,4,,full_l4_calls_per_100_requests,24.25249169435216
candidate_objective,4,,l4_conflict_rate,0.0
candidate_objective,4,,p95_latency_ms,900.0
candidate_objective,4,,residual_l4_calls_per_100_requests,0.0
candidate_objective,4,,residual_l4_verified_fields_per_100,0.0
candidate_objective,4,,wrong_accept_rate,0.0033222591362126247
candidate_objective,4,,wrong_accepted_field_rate,0.0015337423312883436
layer_delta,4,L0,accepted_accuracy_delta,0.0
layer_delta,4,L0,cost_delta,0.0
layer_delta,4,L0,coverage_delta,0.24584717607973428
layer_delta,4,L0,layer_share_delta,0.24584717607973428
layer_delta,4,L0,p95_latency_ms_delta,0.0
layer_delta,4,L0,wrong_accept_delta,0.0
layer_delta,4,L1,accepted_accuracy_delta,0.0
layer_delta,4,L1,cost_delta,0.0
layer_delta,4,L1,coverage_delta,0.0
layer_delta,4,L1,layer_share_delta,0.0
layer_delta,4,L1,p95_latency_ms_delta,0.0
layer_delta,4,L1,wrong_accept_delta,0.0
layer_delta,4,L2,accepted_accuracy_delta,-0.3333333333333333
layer_delta,4,L2,cost_delta,-3.3222591362126254e-05
layer_delta,4,L2,coverage_delta,-0.0066445182724252485
layer_delta,4,L2,layer_share_delta,-0.0066445182724252485
layer_delta,4,L2,p95_latency_ms_delta,0.0
layer_delta,4,L2,wrong_accept_delta,-0.0033222591362126247
layer_delta,4,L3,accepted_accuracy_delta,0.0
layer_delta,4,L3,cost_delta,0.0
layer_delta,4,L3,coverage_delta,0.0
